timestamp,annotator_id,confirmation_code,item_id,thread_id,post_id,parent_id,identity_hate_speech,hate_severity,hate_target_group,abuse_level,abuse_target,counterspeech,confidence,flag_for_review,notes
2026-07-09T03:55:23.674458,36b4a7c4a6,35a03782-f67b-4593-bf83-bd350acddec9,requested_threads_1539263007762563072_1539265164889018368,1539263007762563072,1539265164889018368,1539264265747677184,0,,,none,,0,medium,False,
2026-07-09T03:59:43.691580,36b4a7c4a6,c248191d-71d5-47f4-8197-cb5027cf4ad2,requested_threads_1539263007762563072_1539276806129328128,1539263007762563072,1539276806129328128,1539273083181314048,,,,,,,,False,
2026-07-09T04:04:38.422088,36b4a7c4a6,351c70ca-98db-4fb1-944c-36cc4124b69e,requested_threads_1539263007762563072_1539263649767899145,1539263007762563072,1539263649767899145,1539263007762563072,,,,,,,,False,
2026-07-09T04:11:47.551468,36b4a7c4a6,4989a22b-caeb-44aa-ba03-e95dd7f63f72,requested_threads_1426226403381493765_1426226403381493765,1426226403381493765,1426226403381493765,,,,,,,,,False,
2026-07-09T04:15:06.262101,36b4a7c4a6,634b230e-062b-4404-8150-c2d4aff02ba2,requested_threads_1426226403381493765_1426233913068953604,1426226403381493765,1426233913068953604,1426226403381493765,0,,,none,,0,medium,True,Can't access link
2026-07-09T04:18:07.720060,36b4a7c4a6,9e08f31c-305c-42bc-9b2d-61ac25ae15de,requested_threads_1426226403381493765_1426253711161110528,1426226403381493765,1426253711161110528,1426233913068953604,0,,,none,,0,low,True,I can't understand the language and can't access Google Translate
2026-07-09T04:30:10.141797,36b4a7c4a6,e1816f5f-e388-4e58-b143-ad6d369349c2,requested_threads_1426226403381493765_1426370436238041090,1426226403381493765,1426370436238041090,1426226403381493765,0,,,none,,0,high,False,
2026-07-09T04:30:47.796737,36b4a7c4a6,d9f20167-b0fc-4b16-be9d-5d49856e0e26,requested_threads_1426226403381493765_1427312661105102850,1426226403381493765,1427312661105102850,1426233913068953604,0,,,none,,0,medium,False,
2026-07-09T04:30:53.534990,36b4a7c4a6,8bdb91ee-03d6-416b-9685-2cc380bf57b3,requested_threads_1426226403381493765_1426370436238041090,1426226403381493765,1426370436238041090,1426226403381493765,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539263007762563072,1539263007762563072,1539263007762563072,,0,,,mild,Political belief or ideology,,medium,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539264265747677184,1539263007762563072,1539264265747677184,1539263007762563072,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539265164889018368,1539263007762563072,1539265164889018368,1539264265747677184,0,,,none,,0,medium,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539266203423756290,1539263007762563072,1539266203423756290,1539265164889018368,0,,,mild,Political belief or ideology,0,medium,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539272596117651457,1539263007762563072,1539272596117651457,1539266203423756290,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539273083181314048,1539263007762563072,1539273083181314048,1539272596117651457,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539299737311977473,1539263007762563072,1539299737311977473,1539273083181314048,0,,,none,,0,medium,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539300240745824261,1539263007762563072,1539300240745824261,1539299737311977473,0,,,none,,0,medium,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539301041233006592,1539263007762563072,1539301041233006592,1539300240745824261,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539277091442679810,1539263007762563072,1539277091442679810,1539273083181314048,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539276806129328128,1539263007762563072,1539276806129328128,1539273083181314048,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539278586980536320,1539263007762563072,1539278586980536320,1539276806129328128,0,,,none,,0,high,False,
2026-07-09T04:30:56.180895,36b4a7c4a6,8b4761ba-dd42-454a-941b-9459efc26f8a,requested_threads_1539263007762563072_1539280961745084420,1539263007762563072,1539280961745084420,1539278586980536320,0,,,none,,0,high,False,
