tweet_id,source_file,source_index,url,date,username,raw_content,word_count,reply_count,likes_count,retweet_count,quote_count,num_links,has_media,has_quoted_tweet,duplicate_sources,sample_rank,sampling_stratum
1248509454997491717,3_cleaned_data.json,278,https://x.com/PureEcstasy_x/status/1248509454997491717,2020-04-10 07:13:44+00:00,,"Also Reading Up On Motherhood... Learned That The Iconic ""Imma Just Let Him Cry His Self To Sleep"" Technique Is Borderline Abuse. It's Neglect And Causes Emotional Distress In Babies. I Can't Stand Black People 🤦🏾‍♀️",36,1,0,1,0,0,False,False,[],1,3_cleaned_data.json|long|low_engagement|no_media|not_quoted
1380412402496327680,3_cleaned_data.json,110,https://x.com/YaFavAverageJoe/status/1380412402496327680,2021-04-09 06:48:58+00:00,,I FUCKING HATE FEMALE VIRGOS,5,1,0,0,0,0,False,True,[],2,3_cleaned_data.json|short|low_engagement|no_media|quoted
1481015016388190209,3_cleaned_data.json,288,https://x.com/gendermutation/status/1481015016388190209,2022-01-11 21:27:50+00:00,,"A man who identifies as a woman speaks &amp; she listens in a heartbeat, she NEVER listens to other women. Lots of women who look masculine had similar experiences &amp; THEY still disagree with Tai. I can’t stand women like this who refuse to hear other women. https://t.co/QQszwBVnx3",48,3,19,2,3,0,True,True,[],3,3_cleaned_data.json|long|low_engagement|media|quoted
1464366841766334464,3_cleaned_data.json,230,https://x.com/melaninbarbie/status/1464366841766334464,2021-11-26 22:53:56+00:00,,"Fatphobia got thin girls in a chokehold girl. Snapback culture is an extension of fatphobia and pregnant women sit there hand hate their bodies post pregnancy because they're ""still big"" like they didn't just create a PERSON and the focus is ""I'm still fat"".",44,14,5652,887,75,0,False,False,[],4,3_cleaned_data.json|long|high_engagement|no_media|not_quoted
682911043207696384,0_cleaned_data.json,138,https://x.com/WeAllKnowA/status/682911043207696384,2016-01-01 13:07:35+00:00,,We all know a bitch named Natalie,7,81,762,386,6,0,False,False,['1_cleaned_data.json'],5,0_cleaned_data.json|short|high_engagement|no_media|not_quoted
1175475533901127685,3_cleaned_data.json,258,https://x.com/SyracksRL/status/1175475533901127685,2019-09-21 18:23:01+00:00,,Bro I fucking hate female basketball refs. Fucking disgrace to basketball.,11,1,0,0,0,0,False,False,[],6,3_cleaned_data.json|medium|low_engagement|no_media|not_quoted
1185688394288058369,3_cleaned_data.json,479,https://x.com/ApostateProphet/status/1185688394288058369,2019-10-19 22:45:16+00:00,,"""I don't hate Jews, I hate Zionists.""

=

""I really hate Jews, but I know I can't say that.""",19,50,473,123,21,0,False,False,[],7,3_cleaned_data.json|medium|high_engagement|no_media|not_quoted
1317130762282565633,3_cleaned_data.json,76,https://x.com/JustinLaboy/status/1317130762282565633,2020-10-16 15:50:19+00:00,,I hate bitches that tell the truth all the time they don’t give a fuck about nothing or nobody that shit is a turn off 🤦🏽‍♂️ #Respectfully,27,24,711,112,286,0,False,False,[],8,3_cleaned_data.json|medium|high_engagement|no_media|not_quoted
1541839004794077185,2_cleaned_data.json,19,https://x.com/MindofRollins/status/1541839004794077185,2022-06-28 17:40:39+00:00,,king hood is the reason i hate black people,9,3,1,1,1,0,False,False,[],9,2_cleaned_data.json|short|low_engagement|no_media|not_quoted
1150015060770787328,0_cleaned_data.json,145,https://x.com/cherrynamgi/status/1150015060770787328,2019-07-13 12:12:11+00:00,,"TW/// islamophobia 

this is not okay, i cant believe im getting all of this hate for saying “bts muslim” and there is nothing wrong with me being Muslim and bisexual, i am valid. You are horrible person. i will find u nd end u bitch. I won’t let your stupid words hurt me, coward https://t.co/WImbKR8lmi",55,24,92,13,9,0,True,False,"['0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '1_cleaned_data.json']",10,0_cleaned_data.json|long|medium_engagement|media|not_quoted
